id,ambiguity
1,19
2,6
3,12
4,11
5,8
6,7
7,5
8,7
9,7
10,8
11,11
12,9
13,40
14,16
15,18
16,13
17,7
18,7
19,7
20,7
21,7
22,17
23,26
24,12
25,8
26,11
27,7
28,12
29,18
30,5
31,7
32,10
33,16
34,23
35,10
36,7
37,9
38,8
39,14
40,15
41,25
42,11
43,7
44,12
45,13
46,39
47,11
48,14
49,6
50,6
51,24
52,36
53,6
54,9
55,18
56,8
57,11
58,24
59,14
60,10
61,18
62,12
63,24
64,12
65,26
66,21
67,51
68,18
69,15
70,9
71,15
72,15
73,9
74,22
75,16
76,12
77,18
78,23
79,37
80,16
81,12
82,26
83,8
84,14
85,6
86,25
87,21
88,14
89,49
90,12
91,13
92,9
93,13
94,15
95,13
96,5
97,8
98,14
99,10
100,23
101,16
102,26
103,13
104,13
105,24
106,11
107,15
108,0
109,9
110,13
111,50
112,17
113,11
114,12
115,25
116,25
117,15
118,25
119,10
120,6
121,5
122,15
123,25
124,30
125,6
126,17
127,14
128,15
129,15
130,6
131,7
132,13
133,17
134,13
135,22
136,8
137,9
138,8
139,21
140,38
141,12
142,28
143,22
144,18
145,7
146,12
147,8
148,13
149,14
150,7
151,10
152,14
153,46
154,24
155,12
156,24
157,26
158,12
159,41
160,16
161,21
162,5
163,31
164,13
165,21
166,17
167,17
168,11
169,15
170,16
171,8
172,17
173,7
174,8
175,5
176,13
177,13
178,8
179,12
180,29
181,11
182,8
183,8
184,27
185,35
186,12
187,18
188,17
189,8
190,11
191,16
192,5
193,11
194,12
195,7
196,6
197,10
198,10
199,14
200,8